Nitrogen,Potassium,Phosphorous,Fertilizer Name
14,0,15,Seventeen-Seventeen-Seventeen
15,0,0,Seventeen-Seventeen-Seventeen
24,0,15,Fourteen-Thirty Five-Fourteen
13,7,32,DAP
11,0,16,Fourteen-Thirty Five-Fourteen
9,0,10,Fourteen-Thirty Five-Fourteen
11,9,0,Twenty-Twenty
13,0,0,Fourteen-Thirty Five-Fourteen
22,0,13,Urea
9,0,0,Seventeen-Seventeen-Seventeen
38,0,35,DAP
35,0,33,Twenty Eight-Twenty Eight
21,0,12,Ten-Twenty Six-Twenty Six
8,0,0,Urea
13,0,23,Twenty Eight-Twenty Eight
9,0,14,Fourteen-Thirty Five-Fourteen
12,0,40,DAP
10,0,16,Twenty Eight-Twenty Eight
13,0,0,DAP
10,0,28,Twenty-Twenty
36,0,16,Twenty Eight-Twenty Eight
8,0,15,Urea
39,0,0,Fourteen-Thirty Five-Fourteen
22,18,18,Twenty Eight-Twenty Eight
9,17,15,Twenty-Twenty
38,15,0,DAP
23,0,20,DAP
4,0,17,Twenty Eight-Twenty Eight
21,0,35,Twenty Eight-Twenty Eight
6,0,42,Urea
35,0,37,Twenty Eight-Twenty Eight
42,0,38,Seventeen-Seventeen-Seventeen
9,0,32,Seventeen-Seventeen-Seventeen
41,12,37,Fourteen-Thirty Five-Fourteen
37,0,0,Urea
13,18,22,Fourteen-Thirty Five-Fourteen
37,8,21,Twenty-Twenty
23,0,0,Seventeen-Seventeen-Seventeen
10,0,8,Twenty Eight-Twenty Eight
41,0,12,Twenty-Twenty
12,0,10,Twenty Eight-Twenty Eight
12,0,0,DAP
5,0,30,Fourteen-Thirty Five-Fourteen
14,0,30,DAP
36,0,30,DAP
36,0,0,Twenty Eight-Twenty Eight
36,9,0,Seventeen-Seventeen-Seventeen
9,0,0,Twenty Eight-Twenty Eight
15,0,0,Ten-Twenty Six-Twenty Six
12,0,8,Urea
13,0,30,Fourteen-Thirty Five-Fourteen
13,7,0,DAP
8,0,19,DAP
23,0,10,Seventeen-Seventeen-Seventeen
12,0,11,Seventeen-Seventeen-Seventeen
22,0,35,Fourteen-Thirty Five-Fourteen
8,14,13,Twenty-Twenty
41,0,11,Ten-Twenty Six-Twenty Six
23,0,0,Ten-Twenty Six-Twenty Six
14,0,0,Twenty Eight-Twenty Eight
24,0,19,Fourteen-Thirty Five-Fourteen
41,0,19,DAP
14,0,13,Urea
10,0,0,Ten-Twenty Six-Twenty Six
37,0,20,Urea
23,0,10,Fourteen-Thirty Five-Fourteen
21,0,39,Twenty Eight-Twenty Eight
24,0,15,DAP
12,0,36,DAP
40,0,10,Twenty-Twenty
39,0,30,Seventeen-Seventeen-Seventeen
13,9,9,Twenty Eight-Twenty Eight
8,0,29,DAP
35,0,0,Twenty Eight-Twenty Eight
14,0,10,Seventeen-Seventeen-Seventeen
12,12,13,Fourteen-Thirty Five-Fourteen
41,0,12,Twenty-Twenty
12,0,20,Fourteen-Thirty Five-Fourteen
37,9,17,Urea
35,8,39,Urea
13,0,0,Seventeen-Seventeen-Seventeen
39,10,23,Twenty Eight-Twenty Eight
11,0,14,DAP
8,0,13,Urea
22,0,20,DAP
37,0,30,Seventeen-Seventeen-Seventeen
21,0,21,DAP
37,0,40,Urea
22,9,38,Twenty Eight-Twenty Eight
39,13,17,Urea
21,15,0,Twenty Eight-Twenty Eight
24,0,12,Urea
24,9,15,Urea
21,0,22,Twenty Eight-Twenty Eight
24,0,14,DAP
23,10,38,DAP
21,0,0,Ten-Twenty Six-Twenty Six
23,0,15,Twenty Eight-Twenty Eight
39,0,39,DAP
11,0,29,Urea
8,8,42,Urea
14,7,13,Twenty Eight-Twenty Eight
8,0,30,Urea
9,0,19,Twenty Eight-Twenty Eight
13,0,0,DAP
39,0,13,Seventeen-Seventeen-Seventeen
36,0,0,Twenty Eight-Twenty Eight
7,0,36,Fourteen-Thirty Five-Fourteen
39,7,22,Twenty Eight-Twenty Eight
13,0,15,Twenty Eight-Twenty Eight
7,0,35,Twenty Eight-Twenty Eight
15,0,24,DAP
15,0,10,Twenty-Twenty
38,0,38,Twenty-Twenty
41,9,22,Fourteen-Thirty Five-Fourteen
22,0,28,DAP
24,0,39,Fourteen-Thirty Five-Fourteen
9,0,0,DAP
37,8,33,Urea
39,0,20,Ten-Twenty Six-Twenty Six
21,0,0,Fourteen-Thirty Five-Fourteen
36,0,40,DAP
36,0,20,Urea
13,0,8,Urea
39,0,20,Urea
38,18,0,Twenty Eight-Twenty Eight
13,0,9,DAP
5,9,29,Twenty Eight-Twenty Eight
23,9,35,Fourteen-Thirty Five-Fourteen
14,0,0,Urea
36,0,13,Twenty Eight-Twenty Eight
22,0,13,Twenty-Twenty
35,0,36,Twenty Eight-Twenty Eight
39,0,0,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
24,0,19,DAP
11,0,28,Urea
37,0,21,Seventeen-Seventeen-Seventeen
41,12,9,Fourteen-Thirty Five-Fourteen
13,0,24,Twenty-Twenty
41,0,20,Twenty Eight-Twenty Eight
41,0,0,DAP
14,0,0,Fourteen-Thirty Five-Fourteen
41,9,30,DAP
12,8,28,Fourteen-Thirty Five-Fourteen
38,0,12,Twenty-Twenty
23,0,23,DAP
37,0,0,Twenty Eight-Twenty Eight
23,0,14,Twenty-Twenty
14,0,35,DAP
39,9,28,Seventeen-Seventeen-Seventeen
7,0,40,Seventeen-Seventeen-Seventeen
8,0,12,Urea
14,0,19,DAP
13,0,0,Urea
13,0,10,Twenty Eight-Twenty Eight
39,10,0,Twenty Eight-Twenty Eight
15,13,0,Twenty-Twenty
42,0,19,Twenty Eight-Twenty Eight
8,0,0,DAP
24,0,40,Twenty Eight-Twenty Eight
10,0,0,Urea
12,8,39,Fourteen-Thirty Five-Fourteen
13,17,0,DAP
12,0,33,Urea
12,10,0,DAP
7,10,12,Twenty-Twenty
41,0,0,Ten-Twenty Six-Twenty Six
9,0,33,Urea
12,0,0,Urea
14,0,41,Twenty Eight-Twenty Eight
35,0,0,Twenty Eight-Twenty Eight
38,0,40,Ten-Twenty Six-Twenty Six
12,0,0,DAP
7,0,0,Fourteen-Thirty Five-Fourteen
12,0,29,DAP
6,9,0,Twenty-Twenty
8,0,39,Urea
38,0,28,DAP
23,10,32,Twenty-Twenty
12,8,28,Twenty Eight-Twenty Eight
36,0,18,Twenty Eight-Twenty Eight
41,0,0,Urea
21,0,39,Fourteen-Thirty Five-Fourteen
13,0,0,Twenty Eight-Twenty Eight
12,0,42,Ten-Twenty Six-Twenty Six
21,7,0,Seventeen-Seventeen-Seventeen
13,0,41,Urea
40,0,36,Urea
13,10,20,Twenty-Twenty
13,0,0,Twenty Eight-Twenty Eight
23,7,9,Twenty Eight-Twenty Eight
11,0,13,Twenty Eight-Twenty Eight
9,0,12,Seventeen-Seventeen-Seventeen
38,0,10,Twenty Eight-Twenty Eight
23,0,19,DAP
14,18,30,Fourteen-Thirty Five-Fourteen
13,0,13,Fourteen-Thirty Five-Fourteen
39,0,22,Urea
15,19,21,Fourteen-Thirty Five-Fourteen
24,0,14,Urea
10,0,15,DAP
35,0,11,Fourteen-Thirty Five-Fourteen
35,0,14,Urea
11,9,40,Twenty-Twenty
15,0,13,Urea
8,0,16,Fourteen-Thirty Five-Fourteen
14,0,35,Twenty Eight-Twenty Eight
10,0,15,Twenty Eight-Twenty Eight
7,0,13,Twenty Eight-Twenty Eight
35,0,30,DAP
41,19,22,Fourteen-Thirty Five-Fourteen
15,0,0,Urea
23,0,15,Twenty-Twenty
36,0,35,Fourteen-Thirty Five-Fourteen
10,0,37,Twenty Eight-Twenty Eight
12,17,16,Twenty Eight-Twenty Eight
7,0,15,Fourteen-Thirty Five-Fourteen
10,0,29,Ten-Twenty Six-Twenty Six
13,0,14,Twenty Eight-Twenty Eight
11,17,15,Twenty-Twenty
12,0,0,Twenty-Twenty
39,0,0,Urea
7,0,16,Twenty-Twenty
37,18,0,Urea
12,0,14,Urea
10,0,41,Ten-Twenty Six-Twenty Six
7,0,13,Twenty-Twenty
41,0,0,Fourteen-Thirty Five-Fourteen
24,0,37,Fourteen-Thirty Five-Fourteen
15,0,19,DAP
15,19,8,Urea
11,16,0,Twenty Eight-Twenty Eight
12,17,22,Seventeen-Seventeen-Seventeen
22,10,19,Twenty-Twenty
35,0,20,Twenty-Twenty
15,0,38,DAP
12,7,23,Twenty Eight-Twenty Eight
39,0,0,Seventeen-Seventeen-Seventeen
21,0,15,Twenty Eight-Twenty Eight
15,0,0,Urea
14,0,0,DAP
23,0,21,DAP
13,0,24,Fourteen-Thirty Five-Fourteen
24,0,42,Twenty Eight-Twenty Eight
22,9,15,Fourteen-Thirty Five-Fourteen
11,14,40,Ten-Twenty Six-Twenty Six
8,0,35,Twenty-Twenty
37,8,0,DAP
14,0,24,Seventeen-Seventeen-Seventeen
24,0,20,Twenty Eight-Twenty Eight
14,9,30,Urea
12,18,24,Seventeen-Seventeen-Seventeen
14,0,35,Urea
6,10,28,Urea
14,0,0,Ten-Twenty Six-Twenty Six
12,0,0,DAP
36,0,9,Fourteen-Thirty Five-Fourteen
15,0,35,DAP
21,0,35,Twenty-Twenty
5,0,19,DAP
9,0,20,DAP
15,0,0,Urea
14,0,38,DAP
13,0,0,Urea
12,0,15,Urea
13,0,38,Fourteen-Thirty Five-Fourteen
9,0,0,Urea
21,0,13,DAP
12,0,30,DAP
11,14,0,Urea
23,13,21,Twenty Eight-Twenty Eight
11,8,17,Ten-Twenty Six-Twenty Six
14,0,0,Urea
15,0,0,Ten-Twenty Six-Twenty Six
7,0,11,Seventeen-Seventeen-Seventeen
13,0,10,Urea
10,0,18,Urea
36,0,41,Twenty-Twenty
10,0,15,Fourteen-Thirty Five-Fourteen
9,0,14,Twenty Eight-Twenty Eight
35,0,30,Twenty Eight-Twenty Eight
15,0,29,Fourteen-Thirty Five-Fourteen
5,0,0,Seventeen-Seventeen-Seventeen
23,0,15,Fourteen-Thirty Five-Fourteen
35,0,0,Twenty Eight-Twenty Eight
12,0,17,Twenty Eight-Twenty Eight
9,0,19,Fourteen-Thirty Five-Fourteen
13,0,0,Fourteen-Thirty Five-Fourteen
11,0,41,Twenty-Twenty
12,0,30,Twenty-Twenty
36,0,32,Twenty-Twenty
6,10,0,Twenty Eight-Twenty Eight
14,0,30,Urea
9,0,29,Twenty Eight-Twenty Eight
21,0,0,Twenty Eight-Twenty Eight
39,9,19,Twenty Eight-Twenty Eight
14,0,15,DAP
22,16,16,Twenty Eight-Twenty Eight
8,0,20,Seventeen-Seventeen-Seventeen
24,0,28,Urea
41,0,19,Ten-Twenty Six-Twenty Six
13,0,0,Twenty-Twenty
24,10,10,Fourteen-Thirty Five-Fourteen
11,0,15,Urea
21,0,30,Seventeen-Seventeen-Seventeen
38,10,23,Urea
6,7,28,Twenty-Twenty
40,0,0,Urea
15,0,15,Ten-Twenty Six-Twenty Six
10,7,8,Urea
7,0,39,Twenty Eight-Twenty Eight
39,0,0,DAP
12,0,22,Urea
23,0,9,Urea
39,7,41,Seventeen-Seventeen-Seventeen
21,0,9,Twenty Eight-Twenty Eight
12,9,0,Twenty-Twenty
24,0,15,Fourteen-Thirty Five-Fourteen
24,0,37,Twenty-Twenty
23,0,11,Urea
8,0,20,Fourteen-Thirty Five-Fourteen
21,0,40,DAP
39,0,37,Fourteen-Thirty Five-Fourteen
14,13,0,DAP
13,0,0,Twenty-Twenty
15,0,0,Urea
42,0,39,Urea
13,0,19,Fourteen-Thirty Five-Fourteen
24,0,13,Fourteen-Thirty Five-Fourteen
10,0,20,Twenty Eight-Twenty Eight
7,0,36,Fourteen-Thirty Five-Fourteen
24,9,13,Fourteen-Thirty Five-Fourteen
6,0,21,Twenty-Twenty
11,0,15,Twenty-Twenty
36,0,19,Twenty-Twenty
7,17,28,Fourteen-Thirty Five-Fourteen
23,0,0,Fourteen-Thirty Five-Fourteen
41,0,15,Fourteen-Thirty Five-Fourteen
13,0,35,Fourteen-Thirty Five-Fourteen
23,0,19,Twenty Eight-Twenty Eight
15,9,41,Twenty Eight-Twenty Eight
15,0,0,Twenty-Twenty
10,0,32,DAP
35,10,13,DAP
12,0,13,Twenty Eight-Twenty Eight
7,0,36,Twenty Eight-Twenty Eight
24,13,16,Fourteen-Thirty Five-Fourteen
23,0,12,Twenty-Twenty
36,0,20,Seventeen-Seventeen-Seventeen
14,0,21,Urea
13,0,31,Ten-Twenty Six-Twenty Six
12,0,0,Urea
24,0,15,Urea
13,0,0,Urea
6,0,23,DAP
41,0,35,DAP
11,10,24,Urea
11,0,0,Twenty-Twenty
14,0,23,DAP
5,18,30,DAP
12,8,0,DAP
10,0,19,DAP
15,19,39,Twenty Eight-Twenty Eight
41,19,33,Urea
40,0,14,Twenty-Twenty
37,0,41,Seventeen-Seventeen-Seventeen
39,18,28,DAP
10,0,9,Twenty Eight-Twenty Eight
11,0,15,Twenty-Twenty
24,0,0,Twenty Eight-Twenty Eight
37,8,19,Twenty-Twenty
35,0,0,Urea
24,0,12,Ten-Twenty Six-Twenty Six
14,0,0,Twenty-Twenty
11,9,0,Seventeen-Seventeen-Seventeen
12,0,31,Urea
36,7,21,Twenty-Twenty
9,0,10,Twenty-Twenty
22,16,19,Fourteen-Thirty Five-Fourteen
41,0,9,Twenty-Twenty
8,0,0,DAP
14,0,0,Twenty-Twenty
9,0,16,Seventeen-Seventeen-Seventeen
13,9,29,Urea
23,0,0,DAP
9,8,15,Ten-Twenty Six-Twenty Six
8,0,30,Twenty-Twenty
9,0,20,Ten-Twenty Six-Twenty Six
13,19,19,Fourteen-Thirty Five-Fourteen
7,10,0,Twenty-Twenty
21,0,31,Fourteen-Thirty Five-Fourteen
7,0,30,Urea
9,0,10,Fourteen-Thirty Five-Fourteen
12,0,38,Urea
9,0,0,Twenty-Twenty
8,14,8,Fourteen-Thirty Five-Fourteen
6,0,15,DAP
21,0,12,Fourteen-Thirty Five-Fourteen
38,0,37,Urea
13,9,15,Urea
9,0,13,Fourteen-Thirty Five-Fourteen
13,0,19,Fourteen-Thirty Five-Fourteen
40,0,23,Fourteen-Thirty Five-Fourteen
24,0,39,Urea
12,19,28,Urea
9,0,0,Urea
39,0,22,Seventeen-Seventeen-Seventeen
10,12,0,Twenty Eight-Twenty Eight
13,0,37,Twenty Eight-Twenty Eight
21,0,0,Fourteen-Thirty Five-Fourteen
12,0,0,Seventeen-Seventeen-Seventeen
21,0,23,Twenty-Twenty
13,0,14,Fourteen-Thirty Five-Fourteen
11,0,30,Twenty Eight-Twenty Eight
23,0,36,DAP
9,0,0,Urea
41,0,0,Seventeen-Seventeen-Seventeen
12,0,19,DAP
41,7,30,Seventeen-Seventeen-Seventeen
8,0,9,DAP
11,0,13,Urea
13,9,0,Twenty-Twenty
11,0,28,Ten-Twenty Six-Twenty Six
24,0,28,Twenty Eight-Twenty Eight
40,8,41,DAP
12,0,41,Urea
11,0,33,DAP
38,8,0,Twenty Eight-Twenty Eight
10,0,0,DAP
7,0,40,Twenty Eight-Twenty Eight
12,0,15,DAP
15,0,29,Twenty-Twenty
9,0,30,Twenty-Twenty
12,17,0,Urea
39,0,0,DAP
24,18,19,Twenty Eight-Twenty Eight
15,0,40,Twenty-Twenty
12,0,20,Twenty-Twenty
35,0,14,Twenty Eight-Twenty Eight
24,9,41,Twenty Eight-Twenty Eight
24,0,0,Twenty Eight-Twenty Eight
39,0,0,Twenty Eight-Twenty Eight
9,0,0,Urea
41,0,22,Urea
12,0,13,Urea
13,0,0,Twenty Eight-Twenty Eight
23,7,15,Twenty-Twenty
41,12,13,Urea
23,0,10,DAP
13,9,10,Urea
6,0,13,Seventeen-Seventeen-Seventeen
22,7,29,Seventeen-Seventeen-Seventeen
22,9,16,DAP
9,0,35,Ten-Twenty Six-Twenty Six
12,0,29,DAP
10,0,0,Seventeen-Seventeen-Seventeen
13,0,36,Urea
5,0,0,Urea
5,0,14,Urea
8,0,29,Fourteen-Thirty Five-Fourteen
22,0,0,Seventeen-Seventeen-Seventeen
8,9,13,DAP
12,0,30,DAP
9,0,41,Twenty-Twenty
15,13,15,Fourteen-Thirty Five-Fourteen
9,0,13,Fourteen-Thirty Five-Fourteen
12,0,0,Twenty Eight-Twenty Eight
7,0,14,Fourteen-Thirty Five-Fourteen
9,14,22,DAP
24,15,30,DAP
38,0,13,Fourteen-Thirty Five-Fourteen
8,9,37,Fourteen-Thirty Five-Fourteen
24,0,19,Twenty Eight-Twenty Eight
24,0,41,Fourteen-Thirty Five-Fourteen
22,0,30,Ten-Twenty Six-Twenty Six
36,0,35,Fourteen-Thirty Five-Fourteen
37,19,28,DAP
7,0,0,Fourteen-Thirty Five-Fourteen
38,0,19,Twenty Eight-Twenty Eight
23,0,10,Ten-Twenty Six-Twenty Six
23,0,0,Twenty Eight-Twenty Eight
24,18,0,Twenty Eight-Twenty Eight
22,0,10,Twenty-Twenty
11,0,36,Urea
10,16,13,Urea
15,0,0,Twenty Eight-Twenty Eight
41,0,0,Urea
8,0,38,DAP
39,0,19,Twenty Eight-Twenty Eight
13,17,0,Seventeen-Seventeen-Seventeen
8,19,0,Urea
4,0,15,Ten-Twenty Six-Twenty Six
7,0,9,Seventeen-Seventeen-Seventeen
8,18,0,Seventeen-Seventeen-Seventeen
9,0,15,Twenty Eight-Twenty Eight
13,0,0,Seventeen-Seventeen-Seventeen
42,0,22,DAP
10,0,0,DAP
5,0,37,Twenty Eight-Twenty Eight
21,0,23,Twenty-Twenty
10,0,13,Twenty Eight-Twenty Eight
12,10,0,Twenty Eight-Twenty Eight
8,8,30,Urea
6,0,0,Urea
39,0,23,Twenty Eight-Twenty Eight
7,8,13,Ten-Twenty Six-Twenty Six
39,0,20,Seventeen-Seventeen-Seventeen
7,0,0,DAP
42,0,30,Twenty-Twenty
24,0,38,Fourteen-Thirty Five-Fourteen
10,8,13,Twenty Eight-Twenty Eight
10,0,14,Twenty Eight-Twenty Eight
6,0,14,Ten-Twenty Six-Twenty Six
11,0,31,Fourteen-Thirty Five-Fourteen
35,8,40,Seventeen-Seventeen-Seventeen
10,7,22,Ten-Twenty Six-Twenty Six
36,0,0,Twenty-Twenty
6,10,37,DAP
8,19,19,Twenty-Twenty
13,0,14,Seventeen-Seventeen-Seventeen
23,0,30,Seventeen-Seventeen-Seventeen
21,10,13,Twenty Eight-Twenty Eight
39,9,38,Twenty Eight-Twenty Eight
23,14,18,Twenty-Twenty
36,9,14,Fourteen-Thirty Five-Fourteen
35,0,0,Twenty-Twenty
4,0,20,DAP
9,19,17,DAP
10,0,9,Urea
24,15,0,Twenty-Twenty
23,0,11,Twenty Eight-Twenty Eight
7,0,18,Fourteen-Thirty Five-Fourteen
22,0,30,Urea
10,0,41,Twenty Eight-Twenty Eight
10,9,0,Urea
13,0,28,Seventeen-Seventeen-Seventeen
21,9,0,DAP
10,0,22,DAP
35,0,15,DAP
10,0,24,DAP
10,7,29,Twenty-Twenty
14,0,12,Fourteen-Thirty Five-Fourteen
14,0,0,DAP
41,0,13,Twenty Eight-Twenty Eight
8,10,23,Urea
21,0,0,Fourteen-Thirty Five-Fourteen
41,9,21,DAP
13,0,40,Fourteen-Thirty Five-Fourteen
14,9,9,Twenty Eight-Twenty Eight
13,17,20,Twenty-Twenty
22,0,41,Urea
10,10,9,Ten-Twenty Six-Twenty Six
41,9,41,Twenty Eight-Twenty Eight
42,0,24,Seventeen-Seventeen-Seventeen
13,0,10,DAP
12,0,30,Fourteen-Thirty Five-Fourteen
23,0,8,Seventeen-Seventeen-Seventeen
39,19,20,Seventeen-Seventeen-Seventeen
5,0,15,Urea
7,0,13,DAP
6,0,36,Urea
24,0,29,Twenty-Twenty
37,0,21,DAP
39,0,0,Twenty-Twenty
11,0,12,Fourteen-Thirty Five-Fourteen
41,0,0,DAP
8,13,15,Urea
24,0,30,Urea
12,7,0,Urea
8,0,0,DAP
13,10,12,Twenty-Twenty
9,0,16,Urea
13,0,42,Twenty Eight-Twenty Eight
39,0,30,Twenty Eight-Twenty Eight
24,0,15,Twenty Eight-Twenty Eight
41,0,0,Twenty-Twenty
24,0,19,Twenty-Twenty
15,0,29,Twenty-Twenty
39,0,41,DAP
10,0,15,Twenty Eight-Twenty Eight
10,0,37,Twenty Eight-Twenty Eight
37,0,12,DAP
12,9,0,Seventeen-Seventeen-Seventeen
41,0,39,Ten-Twenty Six-Twenty Six
7,0,19,Fourteen-Thirty Five-Fourteen
23,0,30,Urea
8,0,39,Ten-Twenty Six-Twenty Six
38,0,0,Twenty-Twenty
6,8,9,Fourteen-Thirty Five-Fourteen
10,9,40,DAP
12,0,0,DAP
10,10,17,Twenty-Twenty
10,0,14,DAP
21,0,41,Twenty-Twenty
12,0,42,Seventeen-Seventeen-Seventeen
22,0,24,Urea
9,0,0,Urea
36,0,36,DAP
24,0,23,Urea
12,17,14,Twenty Eight-Twenty Eight
41,0,0,Ten-Twenty Six-Twenty Six
41,0,37,Urea
13,17,15,Twenty-Twenty
9,0,16,DAP
15,16,16,Twenty-Twenty
14,0,0,DAP
24,13,28,Twenty Eight-Twenty Eight
42,0,8,DAP
39,16,11,Urea
12,0,15,Twenty Eight-Twenty Eight
10,17,37,Urea
14,0,15,Twenty Eight-Twenty Eight
11,19,28,Twenty Eight-Twenty Eight
9,0,16,Twenty-Twenty
24,0,0,DAP
10,0,18,Twenty Eight-Twenty Eight
24,0,32,Twenty Eight-Twenty Eight
41,12,14,Fourteen-Thirty Five-Fourteen
15,0,41,Twenty-Twenty
8,0,31,Urea
8,17,17,Twenty Eight-Twenty Eight
8,8,28,DAP
11,13,0,Urea
12,10,39,Twenty Eight-Twenty Eight
13,0,0,Ten-Twenty Six-Twenty Six
21,0,19,Twenty-Twenty
11,0,19,DAP
9,0,21,Twenty Eight-Twenty Eight
41,0,23,Fourteen-Thirty Five-Fourteen
13,0,30,DAP
12,0,29,DAP
15,10,15,Ten-Twenty Six-Twenty Six
12,0,12,Twenty-Twenty
9,0,0,Twenty Eight-Twenty Eight
36,0,17,Urea
8,0,13,Twenty-Twenty
37,0,0,DAP
8,0,14,Fourteen-Thirty Five-Fourteen
21,7,19,Fourteen-Thirty Five-Fourteen
9,0,41,Ten-Twenty Six-Twenty Six
14,0,10,Twenty Eight-Twenty Eight
14,10,30,DAP
23,0,22,Twenty-Twenty
8,0,21,Fourteen-Thirty Five-Fourteen
37,0,28,Fourteen-Thirty Five-Fourteen
21,0,0,Fourteen-Thirty Five-Fourteen
21,0,11,Urea
23,0,24,Seventeen-Seventeen-Seventeen
13,0,29,Twenty Eight-Twenty Eight
8,0,0,Twenty Eight-Twenty Eight
36,0,41,Twenty Eight-Twenty Eight
13,0,9,Urea
36,0,29,DAP
13,0,0,Urea
13,0,0,DAP
21,7,19,Twenty Eight-Twenty Eight
5,0,41,Twenty-Twenty
8,0,28,DAP
39,0,23,Twenty Eight-Twenty Eight
13,0,0,Fourteen-Thirty Five-Fourteen
39,0,0,Twenty Eight-Twenty Eight
13,14,13,Twenty-Twenty
14,0,9,Twenty-Twenty
12,9,19,Urea
8,0,18,Twenty Eight-Twenty Eight
5,8,13,Twenty Eight-Twenty Eight
13,0,36,Fourteen-Thirty Five-Fourteen
13,0,14,DAP
21,0,21,Twenty Eight-Twenty Eight
9,0,38,DAP
4,0,11,Twenty Eight-Twenty Eight
6,13,0,Urea
23,0,14,DAP
9,0,14,Fourteen-Thirty Five-Fourteen
37,0,11,DAP
38,0,33,Ten-Twenty Six-Twenty Six
6,0,13,Twenty-Twenty
9,14,0,Fourteen-Thirty Five-Fourteen
5,7,0,Ten-Twenty Six-Twenty Six
11,14,0,Twenty-Twenty
9,0,0,Twenty Eight-Twenty Eight
15,0,0,Twenty Eight-Twenty Eight
11,0,13,Urea
11,0,0,DAP
5,0,12,DAP
21,9,9,Urea
7,0,9,DAP
9,19,24,Seventeen-Seventeen-Seventeen
14,0,16,DAP
8,0,30,Urea
35,0,0,DAP
11,14,0,Ten-Twenty Six-Twenty Six
9,0,0,DAP
12,19,30,DAP
9,0,10,Fourteen-Thirty Five-Fourteen
39,0,20,Urea
40,18,13,Urea
10,10,11,Seventeen-Seventeen-Seventeen
13,0,0,Twenty Eight-Twenty Eight
23,0,9,Twenty Eight-Twenty Eight
12,0,12,Ten-Twenty Six-Twenty Six
38,0,14,Ten-Twenty Six-Twenty Six
10,10,15,Twenty Eight-Twenty Eight
12,0,42,Twenty-Twenty
6,0,18,Twenty-Twenty
9,0,17,Seventeen-Seventeen-Seventeen
42,0,31,Seventeen-Seventeen-Seventeen
22,12,21,DAP
12,0,0,Twenty Eight-Twenty Eight
13,0,0,Twenty Eight-Twenty Eight
22,0,0,Urea
41,0,19,Twenty-Twenty
13,0,19,Twenty-Twenty
7,0,21,Twenty Eight-Twenty Eight
13,10,0,Fourteen-Thirty Five-Fourteen
39,0,21,DAP
40,10,30,Ten-Twenty Six-Twenty Six
35,0,20,DAP
8,0,13,DAP
12,0,8,Twenty-Twenty
41,0,11,Urea
37,17,29,Fourteen-Thirty Five-Fourteen
36,0,30,DAP
21,0,12,Seventeen-Seventeen-Seventeen
21,0,21,Urea
11,0,20,DAP
21,0,20,Twenty Eight-Twenty Eight
11,0,19,Ten-Twenty Six-Twenty Six
11,0,19,Fourteen-Thirty Five-Fourteen
10,0,40,Urea
9,10,20,Seventeen-Seventeen-Seventeen
13,10,40,Twenty Eight-Twenty Eight
6,0,9,Twenty Eight-Twenty Eight
24,17,30,Twenty-Twenty
39,9,15,DAP
6,0,23,Fourteen-Thirty Five-Fourteen
12,10,29,Seventeen-Seventeen-Seventeen
13,0,20,Twenty-Twenty
21,0,19,Urea
37,0,15,Twenty-Twenty
13,15,13,Twenty-Twenty
9,17,0,Fourteen-Thirty Five-Fourteen
36,9,31,DAP
10,0,30,Ten-Twenty Six-Twenty Six
38,9,30,Twenty-Twenty
14,0,36,Urea
21,0,0,DAP
5,0,30,Fourteen-Thirty Five-Fourteen
38,14,16,Ten-Twenty Six-Twenty Six
12,8,21,DAP
24,16,0,Twenty Eight-Twenty Eight
36,0,20,Urea
12,15,0,Urea
39,0,31,Urea
12,0,28,Fourteen-Thirty Five-Fourteen
12,0,18,Twenty Eight-Twenty Eight
38,0,28,Fourteen-Thirty Five-Fourteen
8,0,30,DAP
37,0,40,Twenty Eight-Twenty Eight
15,0,16,Urea
5,0,0,Urea
23,0,10,Twenty-Twenty
38,9,13,DAP
15,0,30,Twenty Eight-Twenty Eight
9,10,23,Urea
35,15,0,Twenty-Twenty
10,0,9,Twenty-Twenty
13,10,0,DAP
12,0,30,Fourteen-Thirty Five-Fourteen
22,13,24,Twenty-Twenty
7,0,31,Seventeen-Seventeen-Seventeen
5,0,40,DAP
9,18,15,Urea
38,0,39,Urea
14,8,30,Twenty Eight-Twenty Eight
21,9,32,Twenty-Twenty
5,0,18,DAP
9,0,40,Fourteen-Thirty Five-Fourteen
36,0,10,Twenty Eight-Twenty Eight
11,0,0,Twenty-Twenty
39,0,15,Urea
11,0,0,DAP
5,0,0,Twenty Eight-Twenty Eight
36,19,15,Ten-Twenty Six-Twenty Six
23,0,23,Fourteen-Thirty Five-Fourteen
8,0,0,Fourteen-Thirty Five-Fourteen
12,7,21,Seventeen-Seventeen-Seventeen
15,0,13,Fourteen-Thirty Five-Fourteen
15,0,41,Urea
8,7,21,Ten-Twenty Six-Twenty Six
10,19,0,Twenty-Twenty
11,0,0,Twenty-Twenty
14,0,0,Twenty Eight-Twenty Eight
9,0,20,Twenty Eight-Twenty Eight
15,19,9,Ten-Twenty Six-Twenty Six
41,19,12,Fourteen-Thirty Five-Fourteen
39,17,9,Twenty Eight-Twenty Eight
9,8,19,Twenty-Twenty
21,9,0,DAP
38,0,30,Urea
39,13,30,Twenty Eight-Twenty Eight
24,0,41,Seventeen-Seventeen-Seventeen
